file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\app.html,8,html,419ce6a5,Jhonny,2025-04-03,12:41:07,-03:00,2025-04-03T12:41:07-03:00,2,19
src\app.html,9,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,2,60
src\app.html,10,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,2,65
src\app.html,11,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,1,6
src\app.html,12,html,419ce6a5,Jhonny,2025-04-03,12:41:07,-03:00,2025-04-03T12:41:07-03:00,1,0
src\app.html,13,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,1,41
src\app.html,14,html,419ce6a5,Jhonny,2025-04-03,12:41:07,-03:00,2025-04-03T12:41:07-03:00,2,0
src\app.html,15,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,2,52
src\app.html,16,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,1,6
src\app.html,17,html,419ce6a5,Jhonny,2025-04-03,12:41:07,-03:00,2025-04-03T12:41:07-03:00,0,6
src\routes\+page.svelte,1,svelte,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,12
src\routes\+page.svelte,2,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,21
src\routes\+page.svelte,3,svelte,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,13
src\routes\+page.svelte,4,svelte,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\routes\+page.svelte,5,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,7
src\routes\+page.svelte,6,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,41
src\routes\+page.svelte,7,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,41
src\routes\+page.svelte,8,js,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\routes\+page.svelte,9,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,32
src\routes\+page.svelte,10,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,0
src\routes\+page.svelte,11,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,21
src\routes\+page.svelte,12,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,18
src\routes\+page.svelte,13,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,16
src\routes\+page.svelte,14,js,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\routes\+page.svelte,15,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,20
